name,uid,M2014,F2014,M2015,F2015,M2016,F2016,M2017,F2017,M2018,F2018,M2019,F2019,M2020,F2020,M2021,F2021,M2022,F2022,M2023,F2023,M2024,F2024,M2025,F2025
CR Mal�a,Bdkdv6FCjIq,13638,14082,14060,14493,14478,14899,14905,15314,15342,15736,15787,16167,16240,16606,16703,17053,17174,17508,17654,17971,18143,18443,18641,18924
CR Naboun,TJUXxLdn79s,12299,13282,12679,13669,13057,14053,13442,14444,13836,14843,14238,15250,14647,15664,15065,16086,15490,16515,15923,16953,16364,17398,16814,17852
CR Niagassola,iTrk1pPWfLz,15467,15446,15945,15895,16419,16341,16903,16796,17398,17259,17902,17731,18416,18212,18941,18702,19475,19201,20019,19709,20573,20226,21137,20753
CR Niandankoro,gO8qFsRQsmQ,11769,12305,12133,12664,12494,13019,12863,13381,13239,13751,13624,14127,14015,14511,14415,14901,14821,15299,15236,15704,15658,16116,16087,16537
CR Norassoba,n4evMT2sRyA,19886,20620,20501,21221,21110,21816,21734,22423,22370,23042,23019,23673,23681,24315,24355,24969,25043,25636,25742,26315,26455,27006,27181,27710
CR Nounkounkan,P1tnEoOpkEX,6496,6497,6697,6686,6896,6874,7099,7065,7307,7260,7519,7459,7735,7661,7955,7867,8180,8077,8408,8291,8641,8508,8878,8730
CU Siguiri,lDLnzlrMYVy,94277,90965,97186,93611,100074,96234,103026,98909,106039,101637,109112,104415,112245,107246,115439,110129,118694,113066,122008,116056,125383,119101,128821,122202
CR Siguirini,DQXgfrpH1Kj,28005,27454,28869,28253,29727,29045,30604,29853,31499,30676,32412,31515,33343,32370,34292,33240,35259,34127,36244,35029,37247,35949,38268,36885
DPS Siguiri,QZJuFnb2WZ6,2,2,-1,1,0,0,1,0,1,0,0,0,2,-2,1,-1,0,-3,2,-2,1,0,2,-2
IRS Kankan,D1rT7FToSE4,0,0,0,0,0,0,1,-1,1,-1,0,0,1,-1,1,-1,2,0,1,0,1,-2,2,-3
CU Coyah,XyILV847rS7,23882,26149,24620,26911,25353,27666,26102,28437,26867,29222,27647,30023,28442,30838,29253,31669,30079,32515,30920,33376,31777,34254,32650,35147
CR Kouria,WNk8MaLoLuf,5115,4986,5272,5132,5429,5275,5589,5422,5753,5572,5920,5724,6090,5879,6263,6037,6440,6198,6619,6362,6802,6529,6989,6699
CR Man�ah,EqAyyzNMbvC,80699,88196,83194,90766,85670,93314,88202,95913,90786,98563,93421,101263,96109,104013,98849,106814,101640,109667,104483,112573,107378,115532,110326,118545
CR Wonkifong,hUWg7lkHwXp,18273,18575,18837,19116,19397,19652,19970,20199,20554,20757,21150,21324,21758,21903,22378,22492,23009,23092,23652,23704,24307,24326,24973,24960
DPS Coyah,KnR8IiGoSxQ,0,0,0,0,1,1,0,0,0,-1,0,0,0,0,0,0,0,1,1,0,0,-1,1,-1
CR Badi,OQ7WcGcChGz,5027,5722,5182,5889,5337,6054,5494,6223,5656,6395,5820,6571,5987,6749,6158,6931,6332,7116,6509,7305,6690,7497,6874,7693
CU Dubr�ka,BLfUQufUvQn,86576,85329,89248,87812,91901,90272,94613,92783,97380,95342,100203,97950,103081,100606,106016,103312,109005,106067,112050,108873,115151,111731,118308,114641
CR Falessad�,zcdikH2hNTZ,5394,5720,5561,5887,5726,6052,5895,6221,6068,6392,6244,6567,6424,6746,6607,6927,6793,7112,6983,7300,7177,7492,7374,7688
CR Khorira,Eg8m0smwXAU,12514,13226,12901,13611,13285,13993,13677,14382,14078,14780,14486,15184,14903,15596,15327,16016,15760,16444,16200,16879,16649,17323,17106,17774
CR Ouassou,n80qBKPpis8,7620,8172,7855,8410,8089,8646,8328,8886,8572,9132,8820,9382,9074,9637,9333,9896,9596,10160,9864,10429,10138,10704,10416,10983
CR Tan�n�,Kb81trIcvYz,23143,25350,23858,26089,24569,26821,25295,27569,26036,28330,26792,29106,27562,29897,28348,30702,29149,31522,29964,32357,30794,33208,31640,34074
CR Tondon,UaVWPmC179W,23296,25881,24016,26636,24731,27383,25462,28146,26208,28924,26969,29717,27745,30524,28536,31346,29342,32184,30163,33037,30999,33905,31850,34790
DPS Dubr�ka,VyZGMioVY5z,0,0,0,-1,-1,1,0,1,-1,0,1,-1,1,-1,1,0,1,0,2,0,0,-2,1,-3
CR Allassoyah,Yb6JsTQLWly,7322,7632,7548,7854,7773,8074,8002,8299,8236,8528,8475,8761,8719,8999,8967,9241,9220,9488,9478,9739,9741,9995,10008,10256
CR Benty,qDcWOvcbqMe,11702,12652,12063,13021,12422,13387,12789,13759,13164,14139,13546,14527,13936,14921,14333,15323,14738,15732,15150,16149,15570,16573,15997,17006
CR Farmoriah,RZlwMq2VtFV,16041,17320,16537,17825,17029,18325,17532,18835,18046,19356,18570,19886,19104,20426,19648,20976,20203,21536,20768,22106,21343,22687,21929,23279
CU For�cariah,NV92jVGhG5q,10019,10429,10329,10733,10636,11034,10950,11341,11271,11654,11598,11973,11931,12298,12271,12629,12617,12966,12970,13309,13329,13659,13695,14015
CR Kaback,IDCLApw7r6l,9505,10770,9799,11084,10090,11396,10389,11713,10693,12037,11004,12367,11321,12703,11644,13045,11972,13394,12307,13749,12649,14110,12996,14479
CR Kakossa,xQMcMk2XLNB,4621,4854,4764,4996,4906,5136,5051,5279,5198,5425,5349,5573,5503,5724,5660,5878,5820,6035,5982,6195,6148,6358,6317,6524
CR Kaliah,KcZpEJQMJQM,9208,10241,9493,10540,9775,10836,10064,11138,10359,11446,10660,11759,10967,12079,11279,12404,11598,12735,11922,13073,12253,13417,12589,13767
CR Maf�rinyah,F3uOwQ7Zydv,21507,22572,22172,23229,22831,23881,23506,24546,24194,25224,24896,25914,25611,26617,26341,27334,27085,28064,27842,28807,28613,29563,29398,30334
CR Moussayah,AKd2Wg8qC62,18121,20089,18682,20675,19238,21255,19806,21848,20387,22451,20979,23066,21582,23693,22198,24331,22825,24981,23463,25643,24113,26317,24776,27004
CR Sikhourou,InQyerCQCiY,9321,11012,9609,11334,9896,11652,10189,11977,10487,12309,10792,12646,11103,12990,11420,13340,11743,13697,12071,14060,12406,14430,12747,14807
DPS For�cariah,CXHCAlP68L5,1,2,-1,0,1,0,1,0,1,-1,0,0,0,0,1,1,0,1,2,1,0,1,1,-3
CR Bangouya,ZudheZVWRTX,25218,28192,25998,29014,26772,29829,27563,30660,28371,31507,29195,32371,30035,33250,30892,34146,31764,35058,32653,35987,33558,36934,34480,37897
CR Damakania,lbLjoZaBmnr,12931,12793,13330,13165,13726,13534,14131,13910,14545,14294,14966,14685,15396,15083,15835,15489,16281,15902,16736,16323,17199,16751,17671,17188
CR Friguiagb�,fJknXATodI8,16752,17550,17269,18061,17783,18568,18308,19085,18844,19612,19391,20149,19949,20695,20517,21253,21096,21820,21686,22398,22286,22986,22898,23585
CU Kindia,ol5DZ2afmTL,83971,88035,86565,90599,89140,93141,91773,95734,94460,98377,97201,101070,99995,103813,102844,106607,105747,109453,108703,112351,111713,115303,114779,118308
CR Kolent�,QvNyRIU9gRQ,15183,16418,15652,16896,16118,17370,16594,17854,17080,18347,17576,18850,18081,19362,18597,19883,19122,20414,19656,20955,20201,21506,20755,22066
CR Madina Oula,b30QPVeqfVK,11204,12320,11551,12680,11894,13035,12246,13399,12605,13769,12971,14146,13344,14530,13724,14922,14112,15320,14507,15726,14909,16139,15318,16560
CR Mambia,MGtOBD6SdQO,13091,13653,13496,14050,13897,14444,14308,14846,14727,15256,15154,15674,15589,16099,16034,16533,16486,16974,16947,17423,17416,17881,17894,18347
CR Molota,jeqG74b9PWd,5832,6388,6012,6574,6191,6759,6374,6947,6561,7139,6752,7335,6946,7534,7144,7737,7346,7944,7551,8154,7760,8368,7973,8587
CR Samaya,k0T1lBX8gfx,10253,11236,10569,11563,10884,11888,11206,12219,11534,12556,11869,12900,12210,13251,12558,13607,12913,13971,13274,14341,13642,14718,14017,15102
CR Sougueta,HvsSYG1GLD4,19910,22054,20525,22697,21136,23334,21761,23984,22399,24647,23049,25322,23712,26010,24388,26711,25077,27425,25779,28151,26493,28891,27221,29645
DPS Kindia,zmSjEUspuVL,0,0,0,1,2,1,1,1,-1,1,-1,-1,1,1,0,-1,0,-1,-1,1,1,0,0,0
CR Bourouwal,yHhX9qOOmtj,11088,14556,11432,14981,11773,15403,12122,15833,12478,16272,12841,16719,13211,17174,13589,17638,13974,18110,14365,18591,14764,19081,15171,19580
CR Daramagnaky,Wf7IaV5YnBy,15506,18028,15986,18554,16463,19076,16949,19608,17446,20150,17953,20702,18470,21265,18997,21838,19534,22422,20081,23017,20638,23622,21205,24239
CR Gougoudj�,OOjncRJHLg9,4915,5975,5067,6149,5218,6322,5372,6498,5530,6678,5691,6861,5855,7048,6022,7238,6192,7432,6366,7629,6542,7830,6722,8034
CR Koba,H3C4tXKStOr,4424,5102,4561,5250,4697,5398,4836,5548,4978,5702,5122,5858,5270,6017,5420,6179,5573,6345,5729,6513,5888,6684,6050,6859
CR Kollet,yM7evLgWQww,9967,11419,10275,11752,10581,12082,10894,12419,11214,12762,11539,13112,11871,13469,12210,13832,12555,14201,12907,14578,13264,14961,13629,15352
CR Konsotami,OrnqQ3xne7k,5871,7228,6052,7439,6233,7648,6417,7862,6606,8079,6798,8301,6994,8527,7193,8757,7397,8991,7604,9230,7815,9473,8030,9720
CR Missira,LAx7FDWvP2T,20927,23156,21574,23831,22216,24500,22873,25183,23543,25879,24227,26588,24924,27310,25634,28046,26358,28795,27096,29558,27847,30335,28611,31126
CR Santou,W9d7BZcKlcP,6049,7910,6237,8141,6423,8370,6613,8604,6807,8843,7005,9085,7207,9333,7413,9585,7623,9842,7837,10103,8055,10369,8276,10640
CR Sar�kali,b7hjrHBlxny,6335,8664,6531,8917,6726,9169,6926,9425,7129,9686,7337,9952,7549,10223,7764,10500,7984,10781,8208,11068,8436,11359,8669,11656
CR Sinta,rzq6YzEVLVl,9494,11310,9787,11640,10079,11967,10377,12301,10682,12641,10992,12988,11309,13341,11632,13701,11960,14068,12295,14441,12636,14821,12984,15208
CR Sogolon,NQmUppEpEDr,12162,13727,12538,14128,12911,14524,13293,14929,13683,15342,14080,15762,14485,16190,14899,16627,15319,17071,15748,17523,16185,17984,16629,18453
CR Tarihoye,vNv3aginVaJ,6956,7833,7172,8062,7385,8288,7603,8519,7826,8755,8054,8995,8285,9239,8522,9488,8762,9742,9008,10000,9257,10263,9512,10530
CU T�lim�l�,O4F8HfyjLde,11142,13768,11487,14170,11829,14568,12179,14975,12537,15389,12901,15811,13273,16242,13652,16680,14038,17126,14432,17581,14832,18043,15240,18515
CR Thionthian,VyDpT6a2klk,6212,7197,6404,7407,6595,7615,6790,7827,6989,8043,7192,8264,7399,8489,7610,8717,7825,8950,8044,9188,8267,9429,8494,9676
DPS T�lim�l�,C4dKrWoT5au,0,0,0,1,1,1,2,0,0,-1,1,0,1,-1,2,-2,4,-2,0,-4,2,-1,1,-2
IRS Kindia,yTNEihLzQwC,-1,0,1,0,0,-2,1,-1,2,-1,2,-2,3,-3,1,-3,3,-5,4,-4,5,-3,4,-4
CR Fafaya,fKmi58jcs1v,9342,11046,9631,11368,9918,11688,10212,12014,10511,12346,10817,12684,11128,13029,11446,13381,11769,13738,12099,14103,12435,14474,12776,14852
CR Gadha Woundou,dDaHR7kkpvy,3306,3722,3408,3830,3510,3938,3614,4048,3720,4160,3828,4274,3938,4390,4050,4508,4164,4629,4281,4751,4400,4876,4521,5003
CU Koubia,DNyokQvkeAy,10118,11972,10431,12322,10742,12668,11060,13021,11384,13381,11715,13748,12053,14122,12397,14503,12747,14891,13104,15286,13468,15688,13838,16097
CR Matakaou,LrZN5XEAXj1,7405,8943,7634,9204,7861,9462,8094,9726,8331,9995,8574,10270,8821,10549,9072,10833,9329,11123,9590,11418,9856,11719,10127,12025
CR Missira,K3tvapMTYDL,4854,6383,5005,6570,5154,6755,5307,6943,5463,7136,5622,7332,5784,7531,5949,7735,6118,7942,6289,8153,6464,8368,6642,8586
CR Pilimini,UigVSr9l3lv,10549,13043,10876,13424,11200,13801,11532,14187,11870,14579,12215,14979,12567,15387,12926,15802,13292,16225,13664,16655,14043,17094,14430,17540
DPS Koubia,HC3N6HbSdfg,1,0,0,-1,1,0,-1,0,1,0,-1,0,0,0,1,0,0,-1,1,0,-1,-1,-1,1
CR Dalein,tN9JQ9P4RU6,7371,10525,7600,10833,7827,11138,8059,11450,8296,11767,8538,12091,8784,12421,9036,12756,9292,13098,9553,13447,9818,13801,10089,14163
CR Daralab�,ktG4PkPKwnh,3777,5393,3895,5551,4011,5707,4130,5867,4251,6030,4375,6196,4502,6365,4630,6537,4762,6712,4895,6890,5031,7072,5170,7257
CR Diari,m2BqmErUiKP,5628,8529,5803,8779,5977,9026,6154,9279,6335,9536,6520,9799,6708,10066,6900,10339,7096,10616,7295,10899,7498,11186,7705,11479
CR Dionfo,Filfz8dOTnL,5468,7187,5637,7397,5806,7605,5978,7817,6153,8034,6332,8254,6515,8479,6701,8708,6891,8941,7084,9179,7281,9421,7481,9667
CR Garamb�,LjqTho3k2j4,4045,5460,4170,5619,4295,5778,4422,5939,4552,6104,4685,6271,4820,6442,4958,6616,5098,6794,5241,6974,5387,7158,5535,7345
CR Hafia,WBGejRUaF3y,6173,8457,6365,8704,6555,8950,6749,9200,6947,9455,7150,9715,7356,9979,7566,10249,7781,10524,7999,10803,8221,11088,8448,11378
CR Kaalan,HHK1f1mo9hO,4709,5598,4855,5761,4999,5923,5147,6089,5298,6257,5452,6429,5609,6603,5769,6781,5932,6963,6099,7148,6268,7336,6440,7527
CR Kouramangui,aaywybtAu6e,5671,8961,5847,9223,6022,9484,6201,9749,6383,10020,6570,10296,6760,10577,6953,10864,7151,11155,7351,11452,7556,11755,7765,12063
CU Lab�,oYSyKdp5JYN,68193,74524,70301,76696,72394,78849,74533,81045,76716,83284,78944,85565,81215,87889,83530,90256,85889,92667,88291,95122,90737,97623,93229,100168
CR Noussy,acCqfpyUz5q,5868,7986,6049,8219,6230,8451,6415,8687,6603,8928,6796,9173,6992,9423,7192,9678,7395,9937,7603,10201,7814,10470,8029,10744
CR Popodara,lob7kKWWfLa,10735,14351,11068,14770,11398,15186,11736,15611,12081,16043,12432,16484,12791,16933,13157,17390,13529,17856,13909,18331,14295,18814,14688,19306
CR Sannou,kfiCYnhfxcf,9187,11442,9471,11777,9754,12108,10043,12446,10337,12790,10638,13141,10945,13499,11257,13863,11576,14234,11900,14612,12230,14997,12566,15388
CR Tountourou,U247wpXHFBp,6935,8513,7150,8761,7363,9008,7581,9259,7804,9515,8031,9776,8262,10042,8498,10313,8738,10589,8983,10870,9232,11156,9486,11448
DPS Lab�,E1AAcXV9PxL,1,-1,1,1,0,-2,1,-2,5,-2,2,-2,2,-2,4,-3,3,-4,4,-6,7,-7,6,-6
CR Balaya,UpUx9y4rnU8,4362,5944,4497,6118,4631,6290,4769,6466,4909,6645,5052,6828,5197,7014,5346,7204,5497,7397,5652,7593,5809,7793,5969,7997
CR Diountou,ZfNj6HMO76H,6965,11129,7181,11455,7396,11778,7616,12108,7840,12444,8069,12787,8302,13136,8540,13492,8782,13854,9029,14223,9280,14599,9536,14982
CR H�rico,oo72b3A8zcr,7455,10804,7686,11120,7916,11433,8151,11753,8391,12079,8635,12411,8885,12750,9139,13095,9398,13446,9662,13803,9930,14168,10204,14538
CR Korb�,LKM2XQhFbdG,2865,4666,2954,4802,3043,4938,3133,5076,3225,5217,3319,5361,3415,5508,3513,5657,3613,5809,3715,5963,3818,6121,3923,6281
CR Lafou,UCIHNaURJmg,8295,12075,8552,12429,8808,12779,9069,13136,9336,13501,9608,13872,9885,14251,10168,14636,10457,15029,10750,15428,11049,15835,11353,16250
CU L�louma,pI2lCv7tGi2,6524,8082,6726,8318,6926,8552,7131,8790,7340,9034,7554,9281,7772,9534,7993,9791,8220,10053,8450,10320,8684,10592,8923,10869
CR Linsan Saran,wa9s8D0O8Zg,4708,5757,4854,5925,4998,6091,5146,6261,5297,6434,5451,6611,5608,6791,5769,6974,5932,7161,6098,7351,6267,7544,6439,7741
CR Manda,OYaTF0xh02O,3433,4565,3540,4698,3645,4830,3753,4965,3864,5103,3976,5243,4091,5386,4208,5531,4327,5679,4448,5830,4572,5984,4698,6140
CR Parawol,unkJQ1D8gpS,6195,8501,6387,8749,6577,8996,6772,9247,6971,9503,7174,9765,7381,10031,7593,10302,7808,10578,8027,10859,8250,11145,8477,11437
CR Sagal�,TptwHNkvxgg,6475,9019,6676,9283,6875,9545,7079,9811,7287,10084,7500,10361,7716,10643,7937,10931,8162,11224,8391,11522,8624,11826,8861,12135
CR Tianguel Bori,hLZooYijOEv,12188,14378,12565,14798,12940,15214,13323,15638,13713,16070,14112,16511,14518,16960,14933,17417,15355,17883,15785,18357,16222,18840,16668,19332
DPS L�louma,GuePjEvd6OH,-1,-2,0,-1,1,-1,1,1,2,0,1,0,3,-3,0,-2,0,-3,0,0,3,-2,4,-2
CR Balaki,vRLU46hNhc0,5624,6043,5798,6219,5971,6394,6147,6572,6327,6753,6511,6938,6698,7127,6889,7319,7083,7514,7281,7713,7483,7916,7689,8122
CR Donghol Sigon,EOi8SvifJzD,11053,14401,11395,14822,11735,15239,12083,15665,12438,16099,12800,16541,13169,16991,13545,17450,13929,17918,14319,18393,14717,18878,15122,19371
CR Dougountouny,oCLdUnrrbrR,16922,19910,17446,20491,17966,21066,18497,21654,19040,22253,19593,22863,20157,23485,20733,24118,21319,24763,21915,25419,22523,26088,23142,26769
CR Fougou,y2d6GAPrUqn,9840,10478,10144,10783,10446,11085,10754,11394,11069,11709,11390,12029,11718,12356,12052,12689,12392,13027,12739,13372,13091,13724,13451,14082
CR Gayah,m0XyfgtCabH,6028,7256,6215,7468,6400,7678,6589,7892,6783,8110,6980,8333,7181,8560,7386,8790,7595,9026,7807,9265,8024,9509,8244,9757
CR Hidayatou,RxRnqRXF3Op,6003,6299,6188,6483,6372,6665,6561,6850,6753,7039,6949,7232,7148,7428,7352,7628,7559,7832,7771,8039,7986,8251,8205,8466
CR L�b�k�ren,vnoiGoOnqvF,5562,6221,5734,6402,5904,6582,6079,6765,6257,6952,6439,7143,6624,7337,6813,7534,7005,7736,7201,7941,7401,8150,7604,8362
CR Madina Wora,hmpwR9SuL8D,14446,15891,14892,16354,15336,16813,15789,17282,16252,17759,16723,18246,17204,18741,17695,19246,18195,19760,18704,20284,19222,20817,19750,21360
CU Mali,Kk9FK9NJIe8,19061,21114,19650,21729,20235,22339,20833,22962,21444,23596,22066,24242,22701,24901,23349,25572,24008,26255,24680,26951,25364,27659,26060,28381
CR Salamband�,VbXROHlJNpu,7348,8204,7575,8443,7801,8680,8031,8922,8267,9169,8507,9420,8752,9676,9001,9936,9255,10202,9514,10472,9778,10748,10047,11028
CR T�lir�,nixzdM4MYGI,8405,9868,8665,10156,8923,10441,9187,10733,9456,11029,9731,11332,10011,11640,10297,11954,10588,12273,10884,12599,11186,12930,11494,13268
CR Touba,BLLU0gRBVpY,8876,10032,9150,10324,9423,10614,9702,10910,9986,11211,10276,11519,10572,11832,10873,12150,11180,12475,11493,12806,11812,13143,12136,13485
CR Yimb�ring,SgaX2t3Bbgf,16597,18735,17111,19281,17620,19823,18141,20375,18673,20938,19215,21512,19768,22097,20332,22692,20906,23298,21491,23916,22087,24545,22694,25185
DPS Mali,zJZspSfD06r,0,-1,0,1,0,1,1,-1,-1,1,1,-1,2,-2,0,0,2,-1,3,0,1,-3,1,-1
CR Fatako,wPX7R74nNaq,4121,5703,4248,5870,4375,6035,4505,6204,4637,6376,4772,6551,4910,6730,5051,6912,5194,7097,5339,7285,5488,7478,5639,7673
CR Fello Koundoua,zzaqJtN8T1L,3896,4103,4016,4223,4135,4341,4258,4462,4382,4586,4509,4711,4639,4839,4771,4969,4906,5102,5043,5237,5183,5375,5325,5515
CR Kansangui,xDXDzMIQ9t0,3838,4945,3957,5090,4075,5233,4196,5379,4319,5528,4445,5680,4573,5834,4703,5992,4836,6152,4972,6316,5110,6482,5251,6651
CR Kolangui,iMhhlWSnwkW,3239,4116,3339,4236,3438,4355,3540,4477,3644,4600,3750,4727,3858,4855,3969,4986,4081,5120,4195,5256,4312,5394,4430,5535
CR Kollet,hEgEVWooUvP,8189,9364,8442,9638,8693,9908,8951,10184,9213,10466,9481,10753,9753,11045,10032,11343,10315,11646,10604,11955,10898,12269,11197,12589
CR Konah,XVJQmmn4Ssf,6086,7720,6274,7946,6461,8169,6653,8398,6848,8630,7047,8867,7250,9108,7457,9354,7668,9605,7883,9860,8102,10119,8325,10384
CR Kouratongo,PADw7ALQXYA,5333,6003,5498,6178,5661,6351,5829,6528,5999,6709,6174,6893,6351,7080,6533,7271,6717,7465,6905,7663,7096,7864,7291,8069
CR Koin,hCDfbzHeM7H,6029,8069,6216,8304,6401,8538,6591,8777,6785,9020,6982,9268,7184,9520,7389,9778,7598,10039,7811,10306,8028,10578,8249,10854
CR Tangali,r3AxFOJIwxU,3133,4399,3230,4528,3326,4655,3425,4786,3526,4918,3628,5053,3733,5191,3840,5332,3949,5474,4059,5620,4172,5768,4287,5919
CU Tougu�,BvvY2HTeibN,12441,14700,12825,15129,13208,15554,13598,15988,13997,16430,14404,16881,14819,17340,15242,17807,15673,18283,16111,18768,16558,19262,17013,19765
DPS Tougu�,XraGmJ5tF7e,-3,1,0,-1,3,2,-1,-1,1,0,1,-1,1,0,0,-2,1,0,3,-1,1,-1,2,0
IRS Lab�,zy5MQM2PlKb,-1,0,0,-1,2,-1,1,-1,0,-1,2,-3,2,-2,3,-4,4,-4,3,-5,5,-4,6,-5
CR Bodi�,GMf9z3QKXW4,4057,4993,4183,5138,4307,5283,4435,5430,4565,5581,4698,5734,4833,5890,4971,6049,5112,6210,5255,6375,5401,6543,5549,6714
CU Dalaba,y7059Yv8KIx,11567,12818,11924,13192,12279,13562,12642,13940,13013,14325,13390,14717,13776,15117,14168,15524,14569,15939,14976,16362,15391,16792,15814,17230
CR Ditinn,efSIalZ4sJi,5797,7394,5976,7610,6155,7825,6337,8043,6523,8266,6713,8493,6906,8724,7104,8959,7305,9199,7509,9443,7718,9692,7930,9945
CR Kaala,sbXwEBMdDeg,3118,3970,3215,4086,3311,4201,3409,4318,3509,4438,3611,4560,3715,4684,3821,4810,3930,4939,4040,5070,4152,5204,4266,5340
CR Kankalab�,EpiULL1rTS8,7084,9018,7303,9282,7521,9543,7744,9809,7971,10081,8203,10358,8439,10640,8680,10927,8926,11219,9176,11517,9431,11820,9690,12129
CR K�bali,QF3Uax7QYsW,4984,6662,5139,6857,5292,7050,5449,7247,5609,7447,5773,7652,5939,7860,6109,8073,6282,8289,6458,8509,6637,8733,6820,8962
CR Koba,Vv8vxBh65uz,7982,9050,8229,9313,8474,9575,8724,9842,8980,10114,9241,10391,9507,10673,9778,10961,10054,11254,10336,11552,10622,11856,10914,12166
CR Mafara,Qwh6PZfAoSK,3721,4536,3836,4669,3951,4800,4067,4934,4187,5071,4309,5210,4433,5351,4559,5496,4688,5643,4819,5792,4953,5945,5089,6100
CR Mitty,ZTeECCIU5QB,5747,8116,5926,8354,6103,8589,6284,8829,6469,9074,6657,9323,6849,9578,7045,9836,7245,10100,7448,10369,7655,10642,7866,10921
CR Momb�yah,gxdsSMgo0gz,6289,7922,6484,8154,6678,8383,6875,8617,7077,8856,7283,9099,7493,9346,7707,9599,7925,9855,8147,10117,8373,10384,8604,10655
DPS Dalaba,mqBP8r7CwKc,1,1,0,-1,-1,-1,1,0,0,-2,-1,-1,1,0,2,-1,-1,1,1,1,2,0,2,-2
CR Boulliwel,yNN92VehTkY,9450,11623,9743,11962,10033,12299,10330,12642,10633,12992,10943,13348,11258,13711,11579,14081,11907,14458,12240,14842,12580,15233,12926,15630
CR Dounet,rJAmWK0siVH,13848,16967,14277,17462,14703,17953,15138,18454,15582,18965,16035,19485,16497,20015,16968,20555,17448,21105,17937,21665,18435,22236,18942,22816
CR Gongore (Mamou),pqrbAXAYovB,3904,4906,4025,5049,4145,5191,4267,5336,4393,5484,4520,5634,4651,5788,4783,5944,4919,6103,5057,6265,5197,6430,5340,6598
CR K�gn�ko,ARasA2gJ8P2,8867,10443,9141,10748,9414,11050,9692,11358,9976,11672,10266,11992,10562,12318,10863,12651,11170,12989,11483,13333,11802,13684,12126,14041
CR Kounkour�,adWBnbsZpb0,6133,7026,6323,7231,6511,7434,6704,7641,6900,7853,7100,8068,7305,8287,7513,8510,7726,8738,7942,8970,8162,9206,8386,9446
CU Mamou,OegwuVObJYl,40076,43596,41314,44866,42544,46126,43801,47410,45084,48720,46393,50054,47727,51414,49088,52798,50474,54209,51886,55645,53323,57107,54787,58596
CR Nyagara,D7WL2Sm2pGt,5477,6955,5647,7159,5815,7360,5987,7566,6163,7775,6342,7988,6525,8206,6712,8427,6901,8653,7095,8883,7292,9117,7492,9355
CR Our� Kaba,j0jnZYns7dd,15127,16891,15595,17384,16059,17872,16534,18370,17018,18877,17513,19395,18016,19921,18530,20458,19054,21005,19587,21561,20130,22128,20682,22706
CR Por�daka,k08FyiNNVVx,9769,12588,10072,12956,10372,13320,10680,13692,10993,14071,11313,14458,11639,14851,11972,15252,12311,15661,12656,16076,13007,16500,13365,16931
CR Saramoussaya,ly1ZpfJEiGz,11186,12244,11532,12601,11875,12954,12226,13315,12584,13683,12950,14058,13322,14440,13702,14828,14089,15225,14483,15628,14884,16039,15293,16457
CR Soyah,FwBfx7dzqOY,11074,11918,11416,12265,11756,12609,12103,12960,12458,13318,12819,13683,13188,14055,13564,14433,13947,14818,14337,15211,14734,15611,15139,16018
CR T�gu�r�yah,Sd9S8pkDdpR,4266,5118,4398,5267,4529,5415,4663,5566,4800,5720,4939,5877,5082,6037,5227,6200,5374,6366,5525,6534,5678,6706,5834,6881
CR Timbo,TNdK2RkdmKZ,6144,7343,6334,7557,6523,7770,6716,7986,6913,8207,7114,8432,7319,8662,7528,8895,7741,9133,7957,9376,8178,9622,8403,9874
CR Tolo,Rz3ep1o5p8S,4044,4754,4169,4893,4293,5031,4420,5171,4550,5314,4682,5460,4817,5608,4954,5759,5094,5913,5237,6070,5382,6230,5530,6392
DPS Mamou,LyGsnnzEabg,0,0,-1,0,1,-1,1,1,2,0,2,0,1,-1,2,1,1,-2,0,-1,2,-3,2,-1
CR Bantignel,kOfwRTpiT8A,5865,8297,6046,8539,6227,8780,6412,9026,6600,9276,6793,9531,6989,9791,7189,10055,7392,10325,7600,10600,7811,10879,8026,11164
CR Brouwal Tap�,QW92wlaWKpg,4098,5731,4226,5899,4352,6065,4481,6235,4613,6408,4747,6584,4884,6763,5024,6946,5166,7132,5311,7322,5458,7515,5609,7711
CR Donghol Touma,XlWmVuPN2b0,9874,13912,10180,14319,10485,14722,10795,15134,11113,15554,11437,15981,11767,16417,12103,16861,12446,17313,12796,17773,13151,18242,13514,18719
CR Gongore (Pita),cluuaGUZocq,7071,9866,7290,10155,7508,10441,7730,10733,7957,11030,8189,11333,8426,11642,8667,11957,8912,12277,9162,12604,9417,12936,9676,13275
CR Ley Miro,qHOxXnT4YSv,8319,11235,8577,11563,8833,11889,9095,12221,9362,12559,9635,12905,9912,13256,10196,13614,10485,13979,10779,14350,11078,14729,11383,15114
CR Maci,Sqi01br2DoD,9428,12751,9720,13124,10011,13494,10307,13871,10610,14255,10919,14647,11234,15046,11555,15452,11883,15866,12216,16288,12555,16717,12901,17155
CR Ningu�land�,MWG05k5GSvW,12108,13998,12483,14406,12855,14811,13235,15224,13623,15645,14019,16073,14423,16510,14834,16955,15253,17409,15680,17870,16115,18340,16558,18819
CU Pita,NUYWphZJyeW,13066,14838,13470,15271,13872,15700,14282,16138,14700,16584,15127,17038,15563,17501,16007,17973,16459,18453,16919,18942,17388,19440,17866,19948
